0.Variable; GVL.rActualBeamPos;;;;1.Variable;; GVL.rBallFeedback;;
0.Address.AddrFlags; 0x00000000;;;;1.Address.AddrFlags;; 0x00000000;;
0.Class;15;;;;1.Class;;14;;
0.Size;8;;;;1.Size;;4;;
0.GraphColor;4278190335;;;;1.GraphColor;;4278222848;;
0.GraphType;8;;;;1.GraphType;;8;;
0.MinWarningColor;4278190080;;;;1.MinWarningColor;;4278190080;;
0.MaxWarningColor;4294901760;;;;1.MaxWarningColor;;4294901760;;
0.CriticalLowerLimit;0;;;;1.CriticalLowerLimit;;0;;
0.CriticalUpperLimit;0;;;;1.CriticalUpperLimit;;0;;
0.ActivateMinWarning;0;;;;1.ActivateMinWarning;;0;;
0.ActivateMaxWarning;0;;;;1.ActivateMaxWarning;;0;;
0.YAxis;0;;;;1.YAxis;;0;;
0.Data;; ;;;1.Data;;; ;
;;693; 5.0001000000000007;;;;;693; -47.46917724609375
;;695; 4.9998000000000005;;;;;695; -47.236473083496094
;;697; 4.9994000000000005;;;;;697; -47.546749114990234
;;699; 4.9994000000000005;;;;;699; -47.46917724609375
;;701; 4.9998000000000005;;;;;701; -47.158901214599609
;;703; 5.0004;;;;;703; -47.46917724609375
;;705; 5.0004;;;;;705; -47.081329345703125
;;707; 5.0001000000000007;;;;;707; -47.546749114990234
;;709; 4.9998000000000005;;;;;709; -48.244880676269531
;;711; 4.9998000000000005;;;;;711; -48.555160522460938
;;713; 4.9998000000000005;;;;;713; -49.17572021484375
;;715; 4.9994000000000005;;;;;715; -48.477592468261719
;;717; 4.9998000000000005;;;;;717; -47.779460906982422
;;719; 4.9998000000000005;;;;;719; -47.158901214599609
;;721; 5.0004;;;;;721; -46.305633544921875
;;723; 5.0001000000000007;;;;;723; -46.538337707519531
;;725; 5.0001000000000007;;;;;725; -47.314041137695313
;;727; 4.9994000000000005;;;;;727; -48.632728576660156
;;729; 4.9994000000000005;;;;;729; -48.943008422851563
;;731; 4.9987;;;;;731; -48.710300445556641
;;733; 4.9991;;;;;733; -47.934600830078125
;;735; 5.0001000000000007;;;;;735; -47.314041137695313
;;737; 5.0008;;;;;737; -47.158901214599609
;;739; 5.0008;;;;;739; -46.383201599121094
;;741; 5.0004;;;;;741; -46.072921752929688
;;743; 5.0001000000000007;;;;;743; -46.150489807128906
;;745; 4.9998000000000005;;;;;745; -46.6934814453125
;;747; 4.9994000000000005;;;;;747; -46.848617553710938
;;749; 4.9994000000000005;;;;;749; -46.460769653320313
